AIRCRAFT_TYPE,AIRCRAFT_DESCRIPTION,AIRCRAFT_GROUP,RANGE_NM,NETWORK_DEPARTURES_TRAILING_12,LAST_OBSERVED_MONTH,RANGE_STATUTE_MILES
26,Gipps Aero Ga8 Airvan,0,730.0,11824.0,2025-11-01,840.06899704
33,Cessna 185A/B/C Skywagon,0,730.0,197.0,2025-11-01,840.06899704
34,Helio H-250/295/395,0,730.0,51.0,2025-11-01,840.06899704
35,Cessna C206/207/209/210 Stationair,0,730.0,64145.0,2025-11-01,840.06899704
36,Cessna 172 Skyhawk,0,730.0,5248.0,2025-11-01,840.06899704
40,De Havilland DHC2 Beaver,0,395.0,7867.0,2025-11-01,454.55788196
42,De Havilland DHC3 Otter,0,825.0,10887.0,2025-11-01,949.3930445999999
79,Piper PA-32 (Cherokee 6),0,730.0,19815.0,2025-11-01,840.06899704
91,Float/Amphib Turbine,0,730.0,2171.0,2025-11-01,840.06899704
125,Cessna C-402/402A/402B,1,930.0,90665.0,2025-11-01,1070.22488664
131,Pilatus Britten-Norman BN2/A Islander,1,755.0,24530.0,2025-11-01,868.83848324
194,Piper PA-31 (Navajo)/T-1020,1,1011.0,15908.0,2025-11-01,1163.438021928
335,Airbus Industrie A350-1000,6,8700.0,130.0,2025-11-01,10011.7811976
339,Airbus Industrie A330-900,6,7200.0,22808.0,2025-11-01,8285.6120256
359,Airbus Industrie A350-900,6,8500.0,52866.0,2025-11-01,9781.625308
405,Beech 1900 A/B/C/D,4,382.0,3465.0,2025-11-01,439.597749136
406,Beech 200 Super Kingair,4,925.0,2875.0,2025-11-01,1064.4709894
410,Rockwell Turbo-Commander 680-W/690,4,925.0,3899.0,2025-11-01,1064.4709894
415,Cessna C208B/Grand Caravan,4,964.0,98202.0,2025-11-01,1109.351387872
416,Cessna 208 Caravan,4,1070.0,118202.0,2025-11-01,1231.33400936
421,Cessna Skycourier 408,4,925.0,297.0,2025-11-01,1064.4709894
432,Saab 2000,4,925.0,4066.0,2025-11-01,1064.4709894
435,Convair CV-600,4,925.0,4321.0,2025-11-01,1064.4709894
441,Aerospatiale/Aeritalia ATR-42,4,800.0,5773.0,2025-06-01,920.6235584
442,Aerospatiale/Aeritalia ATR-72,4,740.0,5800.0,2025-11-01,851.57679152
449,Dornier 328,4,925.0,1413.0,2025-11-01,1064.4709894
455,Fairchild Metro 23,4,925.0,843.0,2025-01-01,1064.4709894
458,Beechcraft Super King Air,4,925.0,10037.0,2025-11-01,1064.4709894
479,Pilatus PC-12,4,1803.0,35865.0,2025-11-01,2074.855344744
482,De Havilland DHC8-400 Dash-8,4,1100.0,18073.0,2025-11-01,1265.8573928
483,De Havilland DHC8-100 Dash-8,4,924.0,1371.0,2025-08-01,1063.320209952
485,De Havilland Twin Otter DHC-6,4,775.0,50.0,2025-10-01,891.8540722
530,Bombardier CRJ550,6,1000.0,118996.0,2025-11-01,1150.779448
608,Boeing 717-200,6,2060.0,190035.0,2025-11-01,2370.60566288
612,Boeing 737-700/700LR/Max 7,6,2900.0,702708.0,2025-11-01,3337.2603992
614,Boeing 737-800,6,2800.0,1154931.0,2025-11-01,3222.1824544
619,Boeing 737-300,6,2255.0,452.0,2025-08-01,2595.00765524
622,Boeing 757-200,6,3900.0,126399.0,2025-11-01,4488.0398472
623,Boeing 757-300,6,3395.0,31605.0,2025-11-01,3906.89622596
624,Boeing 767-400/ER,6,5625.0,20649.0,2025-11-01,6473.134395
625,Boeing 767-200/ER/EM,6,5200.0,1490.0,2025-11-01,5984.0531296
626,Boeing 767-300/300ER,6,6385.0,56406.0,2025-11-01,7347.72677548
627,Boeing 777-200ER/200LR/233LR,6,7065.0,92422.0,2025-11-01,8130.25680012
629,Canadair RJ-200ER /RJ-440,6,1735.0,141800.0,2025-11-01,1996.60234228
631,Canadair RJ-700,6,1378.0,275247.0,2025-11-01,1585.774079344
632,Dornier 328 Jet,6,3150.0,2494.0,2025-11-01,3624.9552611999998
634,Boeing 737-900,6,2745.0,19811.0,2025-11-01,3158.88958476
637,Boeing 777-300/300ER/333ER,6,7370.0,72496.0,2025-11-01,8481.24453176
638,Canadair CRJ 900,6,1550.0,462399.0,2025-11-01,1783.7081444
669,Bombardier Challenger 604/605,6,3150.0,5723.0,2025-11-01,3624.9552611999998
673,Embraer ERJ-175,6,2150.0,1254319.0,2025-11-01,2474.1758132
674,Embraer-135,6,1750.0,8931.0,2025-11-01,2013.864034
675,Embraer-145,6,1550.0,244718.0,2025-11-01,1783.7081444
676,Embraer-140,6,1650.0,10308.0,2025-11-01,1898.7860891999999
677,Embraer-Emb-170,6,2150.0,101341.0,2025-11-01,2474.1758132
678,Embraer 190,6,2400.0,27482.0,2025-11-01,2761.8706752
687,Airbus Industrie A330-300/333,6,6350.0,25802.0,2025-11-01,7307.4494948
694,Airbus Industrie A320-100/200,6,3400.0,613796.0,2025-11-01,3912.6501232
696,Airbus Industrie A330-200,6,7250.0,69068.0,2025-11-01,8343.150998
698,Airbus Industrie A319,6,3650.0,413859.0,2025-11-01,4200.3449852
699,Airbus Industrie A321Neolr,6,3200.0,584693.0,2025-11-01,3682.4942336
721,Airbus Industrie A321-200n,6,4000.0,359951.0,2025-11-01,4603.117792
722,Airbus Industrie A320-200n,6,3400.0,220166.0,2025-11-01,3912.6501232
723,A200-100 BD-500-1A10,6,3450.0,49858.0,2025-11-01,3970.1890955999997
724,A220-300 BD-500-1A11,6,3600.0,173411.0,2025-11-01,4142.8060128
748,Embraer EMB195,6,2300.0,13031.0,2025-11-01,2646.7927304
817,Boeing 747-200/300,8,6800.0,17.0,2025-11-01,7825.3002464
819,Boeing 747-400,8,7260.0,2835.0,2025-11-01,8354.65879248
820,Boeing 747-400F,8,7515.0,51.0,2025-02-01,8648.10755172
821,Boeing B747-8,8,7730.0,6157.0,2025-11-01,8895.52513304
824,Airbus A330-900neo,6,7200.0,13349.0,2025-11-01,8285.6120256
836,Airbus 350-1000,6,8700.0,21955.0,2025-11-01,10011.7811976
837,Boeing 787-10 Dreamliner,6,6430.0,20556.0,2025-11-01,7399.5118506399995
838,Boeing B737 Max 800,6,3500.0,733065.0,2025-11-01,4027.728068
839,Boeing B737 Max 900,6,3300.0,212609.0,2025-11-01,3797.5721783999998
871,Airbus Industrie A340-300,8,7300.0,5302.0,2025-11-01,8400.6899704
874,Airbus Industrie A340-600,8,7800.0,1413.0,2025-11-01,8976.0796944
881,Ilyushiin Il-96-400t,8,7515.0,62.0,2024-12-01,8648.10755172
882,Airbus Industrie A380-800,8,8000.0,16533.0,2025-11-01,9206.235584
887,B787-800 Dreamliner,6,8000.0,44255.0,2025-11-01,9206.235584
888,Boeing 737-900ER,6,2700.0,466848.0,2025-11-01,3107.1045096
889,B787-900 Dreamliner,6,8300.0,83878.0,2025-11-01,9551.4694184
894,Boeing 737 Max 8-200,6,3500.0,10779.0,2025-11-01,4027.728068
