Feature,Category
AIRCRAFT_TYPE,10
AIRCRAFT_TYPE,102
AIRCRAFT_TYPE,117
AIRCRAFT_TYPE,121
AIRCRAFT_TYPE,125
AIRCRAFT_TYPE,131
AIRCRAFT_TYPE,170
AIRCRAFT_TYPE,194
AIRCRAFT_TYPE,26
AIRCRAFT_TYPE,30
AIRCRAFT_TYPE,33
AIRCRAFT_TYPE,339
AIRCRAFT_TYPE,34
AIRCRAFT_TYPE,35
AIRCRAFT_TYPE,359
AIRCRAFT_TYPE,36
AIRCRAFT_TYPE,39
AIRCRAFT_TYPE,40
AIRCRAFT_TYPE,405
AIRCRAFT_TYPE,406
AIRCRAFT_TYPE,409
AIRCRAFT_TYPE,410
AIRCRAFT_TYPE,415
AIRCRAFT_TYPE,416
AIRCRAFT_TYPE,417
AIRCRAFT_TYPE,418
AIRCRAFT_TYPE,42
AIRCRAFT_TYPE,421
AIRCRAFT_TYPE,432
AIRCRAFT_TYPE,441
AIRCRAFT_TYPE,442
AIRCRAFT_TYPE,449
AIRCRAFT_TYPE,455
AIRCRAFT_TYPE,456
AIRCRAFT_TYPE,458
AIRCRAFT_TYPE,461
AIRCRAFT_TYPE,469
AIRCRAFT_TYPE,479
AIRCRAFT_TYPE,482
AIRCRAFT_TYPE,483
AIRCRAFT_TYPE,484
AIRCRAFT_TYPE,485
AIRCRAFT_TYPE,489
AIRCRAFT_TYPE,491
AIRCRAFT_TYPE,530
AIRCRAFT_TYPE,603
AIRCRAFT_TYPE,608
AIRCRAFT_TYPE,612
AIRCRAFT_TYPE,614
AIRCRAFT_TYPE,615
AIRCRAFT_TYPE,616
AIRCRAFT_TYPE,617
AIRCRAFT_TYPE,619
AIRCRAFT_TYPE,620
AIRCRAFT_TYPE,622
AIRCRAFT_TYPE,623
AIRCRAFT_TYPE,624
AIRCRAFT_TYPE,625
AIRCRAFT_TYPE,626
AIRCRAFT_TYPE,627
AIRCRAFT_TYPE,628
AIRCRAFT_TYPE,629
AIRCRAFT_TYPE,631
AIRCRAFT_TYPE,632
AIRCRAFT_TYPE,633
AIRCRAFT_TYPE,634
AIRCRAFT_TYPE,637
AIRCRAFT_TYPE,638
AIRCRAFT_TYPE,640
AIRCRAFT_TYPE,644
AIRCRAFT_TYPE,645
AIRCRAFT_TYPE,650
AIRCRAFT_TYPE,655
AIRCRAFT_TYPE,656
AIRCRAFT_TYPE,657
AIRCRAFT_TYPE,658
AIRCRAFT_TYPE,669
AIRCRAFT_TYPE,673
AIRCRAFT_TYPE,674
AIRCRAFT_TYPE,675
AIRCRAFT_TYPE,676
AIRCRAFT_TYPE,677
AIRCRAFT_TYPE,678
AIRCRAFT_TYPE,685
AIRCRAFT_TYPE,687
AIRCRAFT_TYPE,693
AIRCRAFT_TYPE,694
AIRCRAFT_TYPE,696
AIRCRAFT_TYPE,697
AIRCRAFT_TYPE,698
AIRCRAFT_TYPE,699
AIRCRAFT_TYPE,714
AIRCRAFT_TYPE,721
AIRCRAFT_TYPE,722
